image no,Energy(x1),Contrast(x2),Correlation(X3),Variance(x4),Inverse difference moment(x5),Sum average(x6),Sum variance(x7),Sum entropy(x8),Entropy (x9),Difference Variance(x10),Difference Entropy(x11),Information measure of correlation-1(x12),Information measure of correlation-2 (x13),Maximal Correlation Coefficient (X14),Label
3787,0.966744432,0.001924002,0.938599474,0.60230279,0.999037999,2.031842232,3.825146981,0.091635942,0.134126721,0.25,0.013953603,-0.862184992,0.613147128,0.938599474,1
3788,0.971123364,0.001637733,0.939881128,0.597028879,0.999181133,2.027623103,3.840396123,0.081460035,0.119159722,0.25,0.012141537,-0.866388321,0.585880239,0.939881128,1
3789,0.981955724,0.001790634,0.889853587,0.582988981,0.999104683,2.016391185,3.872712812,0.056291762,0.083002479,0.25,0.01311512,-0.789668152,0.48980197,0.889853587,1
3790,0.982411802,0.001638002,0.897322508,0.582602747,0.999180999,2.016082198,3.876359505,0.054936679,0.080894875,0.25,0.012143258,-0.801685251,0.486459141,0.897322508,1
3791,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3792,0.958375872,0.003148367,0.918193799,0.611570248,0.998425817,2.039256198,3.789724764,0.111588752,0.164136906,0.25,0.021280742,-0.822102048,0.653680112,0.918193799,1
3793,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3794,0.981422999,0.002339572,0.855963413,0.582971257,0.998830214,2.016377005,3.864235146,0.058294036,0.086440089,0.25,0.016509464,-0.738639026,0.489649671,0.855963413,1
3795,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3796,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3797,0.979688657,0.001617796,0.91346911,0.586092855,0.999191102,2.018874284,3.866704905,0.06159802,0.090484954,0.25,0.012013559,-0.825453785,0.514972852,0.91346911,1
3798,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3799,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3800,0.959107802,0.002464789,0.935868715,0.611502347,0.998767606,2.039201878,3.800704374,0.108838649,0.159485768,0.25,0.017264405,-0.854219775,0.6534114,0.935868715,1
3801,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3802,0.98450888,0.00164117,0.881526592,0.57993743,0.999179415,2.013949944,3.88466291,0.049618304,0.073225251,0.25,0.012163572,-0.779446319,0.461899982,0.881526592,1
3803,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3804,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3805,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3806,0.963227899,0.00358038,0.892171992,0.604718642,0.99820981,2.033774913,3.794682184,0.101974333,0.150698244,0.25,0.023739685,-0.780643015,0.624527557,0.892171992,1
3807,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3808,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3809,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3810,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3811,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3812,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3813,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3814,0.985888163,0.001653576,0.867299864,0.578174521,0.999173212,2.012539617,3.890393243,0.046038962,0.068073758,0.25,0.012243056,-0.759938512,0.444010789,0.867299864,1
3815,0.963724563,0.002362205,0.930357093,0.605643045,0.998818898,2.034514436,3.811864237,0.098955391,0.145124656,0.25,0.016646404,-0.845931079,0.628718722,0.930357093,1
3816,0.915483495,0.005683164,0.927938661,0.665310009,0.997158418,2.082248007,3.705173235,0.197274501,0.290290107,0.25,0.035050345,-0.826741777,0.792658581,0.927938661,1
3817,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3818,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3819,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3820,0.991190143,0.001105125,0.856588149,0.572169844,0.999447437,2.007735875,3.922336033,0.03086227,0.045629969,0.25,0.008627981,-0.752186862,0.368886355,0.856588149,1
3821,0.992672438,0.000918635,0.856682058,0.570538058,0.999540682,2.006430446,3.932679747,0.026334782,0.038911694,0.25,0.007341881,-0.755062867,0.342817889,0.856682058,1
3822,0.991677038,0.000954426,0.870488757,0.571746003,0.999522787,2.007396803,3.926700721,0.02928754,0.043207415,0.25,0.007591432,-0.772681755,0.362427137,0.870488757,1
3823,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3824,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3825,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3826,0.965699511,0.003733572,0.877911454,0.601329152,0.998133214,2.031063321,3.798877645,0.096780637,0.143358517,0.25,0.024598718,-0.759410281,0.608375427,0.877911454,1
3827,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3828,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3829,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3830,0.992101978,0.000990379,0.856645945,0.571165818,0.99950481,2.006932654,3.928633178,0.028093017,0.041520035,0.25,0.00784076,-0.75391194,0.353243647,0.856645945,1
3831,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3832,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3833,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3834,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3835,0.983480294,0.001160991,0.924414977,0.581849845,0.999419505,2.015479876,3.886795502,0.051495058,0.075452655,0.25,0.009006851,-0.846409774,0.479793784,0.924414977,1
3836,0.991421538,0.000983828,0.870473945,0.572030837,0.999508086,2.007624669,3.924973739,0.030058902,0.044349658,0.25,0.00779543,-0.772228108,0.366790037,0.870473945,1
3837,0.988368241,0.001335671,0.870296432,0.57543931,0.999332165,2.010351448,3.905417079,0.039017635,0.057626219,0.25,0.010174677,-0.767411771,0.412993441,0.870296432,1
3838,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3839,0.928616326,0.00516129,0.922092582,0.648252688,0.997419355,2.068602151,3.721265899,0.172836041,0.254510989,0.25,0.032330238,-0.819099467,0.760080199,0.922092582,1
3840,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3841,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3842,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3843,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3844,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3845,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3846,0.949174178,0.004137435,0.91141441,0.622312916,0.997931283,2.047850333,3.76005931,0.131920863,0.19445901,0.25,0.026833779,-0.806599654,0.692013959,0.91141441,1
3847,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3848,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3849,0.94823384,0.003819071,0.920372432,0.623963182,0.998090464,2.049170545,3.762798056,0.133265073,0.196079931,0.25,0.025075397,-0.822086749,0.697256135,0.920372432,1
3850,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3851,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3852,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3853,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3854,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3855,0.973443812,0.001858205,0.924773416,0.593767867,0.999070898,2.025014294,3.843657871,0.076652622,0.112444563,0.25,0.013541137,-0.840654069,0.567062241,0.924773416,1
3856,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3857,0.946787821,0.005423446,0.886581845,0.62377451,0.997288277,2.049019608,3.740145697,0.138539865,0.205294221,0.25,0.03370296,-0.763756189,0.696664502,0.886581845,1
3858,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3859,0.982608664,0.001494768,0.90598233,0.582534048,0.999252616,2.016027238,3.878951827,0.05422985,0.079731904,0.25,0.01121829,-0.815562077,0.485859214,0.90598233,1
3860,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3861,0.980014226,0.002518439,0.85587244,0.584536337,0.998740781,2.01762907,3.856894436,0.062004996,0.091972739,0.25,0.017585894,-0.737117117,0.502708999,0.85587244,1
3862,0.90534229,0.008409786,0.902572781,0.675506498,0.995795107,2.090405199,3.665233038,0.219307787,0.324804042,0.25,0.048559303,-0.777357002,0.808983251,0.902572781,1
3863,0.962404187,0.004633491,0.859522185,0.604433092,0.997683255,2.033546474,3.780411219,0.10505558,0.156196655,0.25,0.02952518,-0.729261471,0.623215126,0.859522185,1
3864,0.98420017,0.001834862,0.868641288,0.580084098,0.999082569,2.014067278,3.881095002,0.050653619,0.074912588,0.25,0.013394253,-0.759987888,0.46332484,0.868641288,1
3865,0.955415193,0.00245098,0.941836971,0.616334034,0.99877451,2.043067227,3.794002504,0.116366986,0.170333055,0.25,0.017181472,-0.864195398,0.671651411,0.941836971,1
3866,0.964953295,0.002192982,0.933259877,0.604271094,0.998903509,2.033416876,3.817056697,0.0960133,0.140710894,0.25,0.015617095,-0.851688774,0.62246676,0.933259877,1
3867,0.936506332,0.003478261,0.942055549,0.639932712,0.99826087,2.06194617,3.752527768,0.155129184,0.227282365,0.25,0.023163415,-0.859302574,0.74116024,0.942055549,1
3868,0.990602297,0.001048218,0.874473684,0.57298218,0.999475891,2.008385744,3.919890567,0.032471369,0.047894501,0.25,0.00823914,-0.776672107,0.380732696,0.874473684,1
3869,0.965464302,0.001978631,0.939233075,0.603886361,0.999010685,2.033109089,3.82134717,0.094500351,0.138313819,0.25,0.014294342,-0.862845091,0.620678305,0.939233075,1
3870,0.98937262,0.001334096,0.85647268,0.574173337,0.999332952,2.00933867,3.910337493,0.036249351,0.053630855,0.25,0.010164254,-0.749085381,0.39698117,0.85647268,1
3871,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3872,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3873,0.987680387,0.001375786,0.8743083,0.576257862,0.999312107,2.011006289,3.90171411,0.040930541,0.060426074,0.25,0.010439523,-0.772363734,0.422747774,0.8743083,1
3874,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3875,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3876,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3877,0.95449242,0.002446483,0.943193663,0.617545872,0.998776758,2.044036697,3.792455417,0.118220575,0.173002721,0.25,0.017154445,-0.866505556,0.675963563,0.943193663,1
3878,0.951764932,0.005344585,0.875472888,0.617352321,0.997327707,2.043881857,3.749694185,0.128366084,0.190537698,0.25,0.03329139,-0.7481413,0.675281474,0.875472888,1
3879,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3880,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3881,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3882,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3883,0.941687523,0.004848485,0.909352936,0.63125,0.997575758,2.055,3.739784158,0.14773556,0.217985845,0.25,0.030674719,-0.800266351,0.718705189,0.909352936,1
3884,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3885,0.924721978,0.004672058,0.933849589,0.654144205,0.997663971,2.073315364,3.724914762,0.179026253,0.262952345,0.25,0.029732115,-0.840353147,0.772185057,0.933849589,1
3886,0.945710327,0.002774221,0.946155831,0.628654503,0.998612889,2.052923602,3.774051236,0.136213097,0.199288181,0.25,0.019103278,-0.8697683,0.711364723,0.946155831,1
3887,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3888,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3889,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3890,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3891,0.991275598,0.001000625,0.870465482,0.572193558,0.999499687,2.007754847,3.923994238,0.030497831,0.044999695,0.25,0.007911574,-0.771973167,0.369241884,0.870465482,1
3892,0.968260115,0.002364998,0.919504446,0.599781566,0.998817501,2.029825253,3.822643526,0.089143011,0.130971178,0.25,0.01666329,-0.82886672,0.60055642,0.919504446,1
3893,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3894,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3895,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3896,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3897,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3898,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3899,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3900,0.939859725,0.004330709,0.922428106,0.634350394,0.997834646,2.057480315,3.744286557,0.150398612,0.22131004,0.25,0.027889138,-0.823031293,0.727077159,0.922428106,1
3901,0.989308889,0.001227182,0.870351219,0.574388326,0.999386409,2.009510661,3.911246011,0.036304559,0.053603589,0.25,0.009452273,-0.768792703,0.399786026,0.870351219,1
3902,0.985926729,0.001217934,0.90526942,0.578675687,0.999391033,2.01294055,3.895905544,0.045350695,0.066645157,0.25,0.00939026,-0.817424267,0.449246103,0.90526942,1
3903,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3904,0.984958968,0.001376147,0.899307159,0.579701835,0.999311927,2.013761468,3.889811137,0.048092695,0.070759239,0.25,0.010441898,-0.807128504,0.459591751,0.899307159,1
3905,0.975957273,0.002856515,0.865222944,0.589279829,0.998571742,2.021423863,3.838838142,0.072243032,0.107081178,0.25,0.019586333,-0.747247027,0.538131546,0.865222944,1
3906,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3907,0.990375359,0.001207729,0.856536429,0.573067633,0.999396135,2.008454106,3.916871637,0.033297752,0.049246231,0.25,0.00932175,-0.750746949,0.381940819,0.856536429,1
3908,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3909,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3910,0.992051293,0.000911369,0.870510442,0.57132889,0.999544315,2.007063112,3.929259171,0.028150733,0.041524293,0.25,0.007291052,-0.773364012,0.35586668,0.870510442,1
3911,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3912,0.947800343,0.004630377,0.902704194,0.62347561,0.997684811,2.048780488,3.751524643,0.135413408,0.19999063,0.25,0.029508461,-0.791064403,0.695723195,0.902704194,1
3913,0.968112051,0.002370671,0.919700585,0.599965075,0.998814664,2.02997206,3.822190411,0.089478492,0.131460848,0.25,0.016697577,-0.829131569,0.601499129,0.919700585,1
3914,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3915,0.941277531,0.005257836,0.9017085,0.63125632,0.997371082,2.055005056,3.734017856,0.149147995,0.220432908,0.25,0.032837302,-0.786885211,0.718722682,0.9017085,1
3916,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3917,0.993029515,0.000873744,0.856704645,0.57014526,0.999563128,2.006116208,3.935258009,0.025223292,0.037263262,0.25,0.007026899,-0.755815549,0.336008905,0.856704645,1
3918,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3919,0.966005454,0.002454364,0.922197802,0.602575165,0.998772818,2.032060132,3.815856641,0.094221492,0.138387244,0.25,0.017201802,-0.832457314,0.614462408,0.922197802,1
3920,0.918980503,0.00517943,0.931730033,0.661232889,0.997410285,2.078986312,3.714047588,0.190205426,0.279587855,0.25,0.032425647,-0.834873319,0.785526053,0.931730033,1
3921,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3922,0.989901159,0.001158916,0.87038567,0.573727003,0.999420542,2.008981602,3.915001237,0.034575966,0.051041491,0.25,0.008992832,-0.769705045,0.391037581,0.87038567,1
3923,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3924,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3925,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3926,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3927,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3928,0.963448218,0.002932551,0.912793919,0.605266373,0.998533724,2.034213099,3.803444327,0.100532356,0.147970082,0.25,0.020030542,-0.815014789,0.627021425,0.912793919,1
3929,0.991534272,0.000894254,0.881904108,0.572001453,0.999552873,2.007601163,3.9266475,0.029623102,0.043631357,0.25,0.007171091,-0.788948487,0.366344186,0.881904108,1
3930,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3931,0.965650842,0.002923061,0.907011478,0.602431099,0.99853847,2.031944879,3.808757729,0.095760098,0.14107568,0.25,0.019975207,-0.806326958,0.613767777,0.907011478,1
3932,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3933,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3934,0.992113657,0.00098891,0.856646685,0.571152963,0.999505545,2.006922371,3.928715163,0.028057228,0.041466934,0.25,0.007830598,-0.75393491,0.353035441,0.856646685,1
3935,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3936,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3937,0.987865059,0.000865801,0.923175743,0.576667651,0.9995671,2.01133412,3.909095916,0.039679501,0.05811122,0.25,0.006970929,-0.848072467,0.427471212,0.923175743,1
3938,0.959802291,0.002246732,0.940806972,0.610881332,0.998876634,2.038705065,3.80526972,0.106968954,0.156570312,0.25,0.015945404,-0.863700138,0.65093637,0.940806972,1
3939,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3940,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3941,0.95773754,0.002663533,0.932749288,0.61302879,0.998668233,2.040423032,3.79518832,0.112045524,0.164311055,0.25,0.018449678,-0.847962664,0.659363821,0.932749288,1
3942,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3943,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3944,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3945,0.98780708,0.001124417,0.898424544,0.576414657,0.999437792,2.011131725,3.905382443,0.04025189,0.059195619,0.25,0.008759126,-0.808730243,0.424567208,0.898424544,1
3946,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3947,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3948,0.99099301,0.001129944,0.856575642,0.572387006,0.999435028,2.007909605,3.921000465,0.031454758,0.046509566,0.25,0.008796636,-0.751830334,0.372119578,0.856575642,1
3949,0.98641828,0.000910925,0.928113043,0.57844118,0.999544538,2.012752944,3.902167743,0.043556302,0.063749385,0.25,0.007287939,-0.854945902,0.446811908,0.928113043,1
3950,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3951,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3952,0.99143062,0.000955501,0.874520417,0.57205501,0.99952225,2.007644008,3.925356575,0.029998314,0.044233919,0.25,0.007598905,-0.778057975,0.367156101,0.874520417,1
3953,0.962284705,0.002914262,0.916279742,0.606796788,0.998542869,2.035437431,3.801075951,0.102985319,0.151490672,0.25,0.019923879,-0.820466372,0.633830058,0.916279742,1
3954,0.95715246,0.003712951,0.905156972,0.612432783,0.998143525,2.039946226,3.779880724,0.115031443,0.169668243,0.25,0.024483454,-0.799145174,0.657061466,0.905156972,1
3955,0.970819583,0.002015723,0.925807331,0.596935262,0.998992139,2.027548209,3.834148524,0.082856272,0.121552055,0.25,0.014524832,-0.841085985,0.585362635,0.925807331,1
3956,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3957,0.949533319,0.003338243,0.929183875,0.622882916,0.998330879,2.048306333,3.77142524,0.129847493,0.190668577,0.25,0.022368361,-0.838545454,0.69384193,0.929183875,1
3958,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3959,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3960,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3961,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3962,0.992307039,0.000964586,0.85665893,0.570940127,0.999517707,2.006752101,3.930077851,0.027463385,0.040585875,0.25,0.007662023,-0.754318768,0.349556817,0.85665893,1
3963,0.973944906,0.001533742,0.937458782,0.593540023,0.999233129,2.024832019,3.849739273,0.074902377,0.10959503,0.25,0.011471284,-0.86329583,0.565683295,0.937458782,1
3964,0.980678197,0.001410256,0.921274256,0.585096154,0.999294872,2.018076923,3.872992316,0.058848631,0.086310884,0.25,0.010666162,-0.839113915,0.507198774,0.921274256,1
3965,0.957956817,0.003010235,0.922897544,0.612294301,0.998494883,2.03983544,3.79076915,0.112221536,0.164911688,0.25,0.020482332,-0.830233668,0.656522551,0.922897544,1
3966,0.994171009,0.000667752,0.870633,0.568968845,0.999666124,2.005175076,3.944479638,0.021535991,0.03173762,0.25,0.005549859,-0.777725144,0.314089507,0.870633,1
3967,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3968,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3969,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3970,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3971,0.991703565,0.001040505,0.856620703,0.571604422,0.999479747,2.007283538,3.925856875,0.029308979,0.043324424,0.25,0.008186206,-0.753142055,0.360223699,0.856620703,1
3972,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3973,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3974,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3975,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3976,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3977,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3978,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3979,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3980,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3981,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3982,0.973340906,0.002319849,0.904707955,0.593310497,0.998840075,2.024648398,3.837174449,0.077649413,0.114344272,0.25,0.016389949,-0.806857897,0.564285152,0.904707955,1
3983,0.993466242,0.000818857,0.856732252,0.569665,0.999590571,2.005732,3.9384619,0.023851677,0.035229554,0.25,0.006638631,-0.75677389,0.327354297,0.856732252,1
3984,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3985,0.978771617,0.002254428,0.881214822,0.586453301,0.998872786,2.019162641,3.855456906,0.064743735,0.095659894,0.25,0.015992308,-0.773663539,0.517718033,0.881214822,1
3986,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3987,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3988,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3989,0.96251878,0.002002002,0.943578918,0.60767017,0.998998999,2.036136136,3.814494189,0.100799024,0.147424254,0.25,0.014439652,-0.869891248,0.637614239,0.943578918,1
3990,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3991,0.975427201,0.002680653,0.877592035,0.590180653,0.998659674,2.022144522,3.839148478,0.073290893,0.108417061,0.25,0.018551064,-0.765470866,0.544256336,0.877592035,1
3992,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3993,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3994,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3995,0.953012833,0.003374578,0.922643957,0.618274278,0.998312711,2.044619423,3.776661825,0.122956484,0.180763287,0.25,0.022575239,-0.827883577,0.678508379,0.922643957,1
3996,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
3997,0.955422931,0.003025561,0.927201334,0.615577726,0.99848722,2.04246218,3.785761229,0.11745167,0.172472503,0.25,0.020571225,-0.836987514,0.668909152,0.927201334,1
3998,0.988932146,0.001253918,0.872251289,0.574830199,0.999373041,2.009864159,3.909087926,0.037375673,0.055175616,0.25,0.009631166,-0.771016761,0.405438067,0.872251289,1
3999,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
4000,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
4001,0.992148309,0.000875219,0.874560853,0.571252188,0.999562391,2.00700175,3.930223085,0.027824187,0.041017036,0.25,0.007037283,-0.779335704,0.35463711,0.874560853,1
4002,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
4003,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
4004,0.966777352,0.002756892,0.90953106,0.601190476,0.998621554,2.030952381,3.8136908,0.093040881,0.13698651,0.25,0.01900125,-0.811134418,0.60768671,0.90953106,1
4005,0.935709897,0.006325337,0.890951443,0.637240422,0.996837331,2.059792338,3.713740684,0.16135707,0.239114381,0.25,0.038331686,-0.766630772,0.734519523,0.890951443,1
4006,0.988579247,0.001043297,0.899475616,0.57554121,0.999478352,2.010432968,3.909990055,0.038054642,0.05594454,0.25,0.008205371,-0.81123857,0.414231957,0.899475616,1
4007,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
4008,0.970481398,0.002014468,0.926768452,0.597371654,0.998992766,2.027897323,3.833260362,0.08360865,0.122636253,0.25,0.014517044,-0.842600384,0.587764669,0.926768452,1
4009,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
4010,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
4011,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
4012,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
4013,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
4014,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
4015,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
4016,0.993017783,0.000875219,0.856703903,0.570158165,0.999562391,2.006126532,3.935172715,0.025259952,0.037317627,0.25,0.007037283,-0.755790393,0.336236324,0.856703903,1
4017,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
4018,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
4019,0.992513035,0.000649984,0.904937047,0.571076174,0.999675008,2.00686094,3.93504755,0.026451202,0.038811002,0.25,0.005419719,-0.824876772,0.351787241,0.904937047,1
4020,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
4021,0.980285594,0.002038736,0.884685744,0.584798675,0.998980632,2.01783894,3.86346495,0.060763562,0.089702026,0.25,0.014667493,-0.780255248,0.504824348,0.884685744,1
4022,0.988125,0.001065644,0.901425051,0.576086957,0.999467178,2.010869565,3.907592871,0.039312431,0.057781493,0.25,0.008358529,-0.813724178,0.420747101,0.901425051,1
4023,0.97757348,0.00174216,0.915786385,0.588632404,0.99912892,2.020905923,3.85791861,0.066862428,0.098204254,0.25,0.01280794,-0.827849254,0.533620954,0.915786385,1
4024,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
4025,0.992326195,0.000855327,0.874570868,0.571053275,0.999572336,2.00684262,3.931449364,0.027280478,0.040212738,0.25,0.006897017,-0.779664862,0.35141352,0.874570868,1
4026,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
4027,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
